"Story","Title","Result","Date","Stability","Duration (s)"
"Register","Success register","SUCCESS","2023-05-08T22:58:35.908+07:00[Asia/Bangkok]","0.0","10.0"
"Register","Failed register with invalid email","SUCCESS","2023-05-08T22:58:46.812+07:00[Asia/Bangkok]","0.0","6.45"
"Register","Failed register with already used email","SUCCESS","2023-05-08T22:58:54.044+07:00[Asia/Bangkok]","0.0","6.23"
"Register","Failed register with does not exist email","SUCCESS","2023-05-08T22:59:01.047+07:00[Asia/Bangkok]","0.0","5.99"
"Register","Failed register with not fill all","SUCCESS","2023-05-08T22:59:07.893+07:00[Asia/Bangkok]","0.0","7.13"
"Register","Failed register with not fill full name","SUCCESS","2023-05-08T22:59:15.827+07:00[Asia/Bangkok]","0.0","6.82"
"Register","Failed register with not fill email","SUCCESS","2023-05-08T22:59:23.5+07:00[Asia/Bangkok]","0.0","6.84"
"Register","Failed register with not fill password","SUCCESS","2023-05-08T22:59:31.216+07:00[Asia/Bangkok]","0.0","5.53"
"Login","Success login","SUCCESS","2023-05-08T22:59:37.641+07:00[Asia/Bangkok]","0.0","8.94"
"Login","Failed login with invalid format","SUCCESS","2023-05-08T22:59:47.379+07:00[Asia/Bangkok]","0.0","5.71"
"Login","Failed login with unregistered","SUCCESS","2023-05-08T22:59:53.861+07:00[Asia/Bangkok]","0.0","4.66"
"Login","Failed login with invalid password","SUCCESS","2023-05-08T22:59:59.443+07:00[Asia/Bangkok]","0.0","5.21"
"Login","Failed login with uppercase password","SUCCESS","2023-05-08T23:00:05.515+07:00[Asia/Bangkok]","0.0","5.36"
"HomePage","Add one product in cart","SUCCESS","2023-05-08T23:00:11.695+07:00[Asia/Bangkok]","0.0","9.73"
"HomePage","Add two identical in cart","SUCCESS","2023-05-08T23:00:22.228+07:00[Asia/Bangkok]","0.0","10.64"
"HomePage","Add two different in cart","SUCCESS","2023-05-08T23:00:33.674+07:00[Asia/Bangkok]","0.0","8.49"
"HomePage","Add three identical in cart","SUCCESS","2023-05-08T23:00:42.968+07:00[Asia/Bangkok]","0.0","11.3"
"HomePage","Add three different in cart","SUCCESS","2023-05-08T23:00:55.063+07:00[Asia/Bangkok]","0.0","10.63"
"HomePage","See detail product 1","SUCCESS","2023-05-08T23:01:06.455+07:00[Asia/Bangkok]","0.0","9.46"
"HomePage","See detail product 2","SUCCESS","2023-05-08T23:01:16.658+07:00[Asia/Bangkok]","0.0","8.27"
"HomePage","See detail product 3","SUCCESS","2023-05-08T23:01:25.764+07:00[Asia/Bangkok]","0.0","9.96"
"Order","Add one product in cart click + button","SUCCESS","2023-05-08T23:01:36.465+07:00[Asia/Bangkok]","0.0","10.28"
"Order","reduce one product in cart click - button","SUCCESS","2023-05-08T23:01:47.511+07:00[Asia/Bangkok]","0.0","10.63"
"Order","buy one product in cart click pay button","SUCCESS","2023-05-08T23:01:58.983+07:00[Asia/Bangkok]","0.0","10.43"
